Latitude: 42.4687  Longitude: -76.3787
X & Y on Lambert Conformal Conic: 1827755.7 257220.59
Tile: 11932
Elevation: 503 meters
All years; all variables; Daymet Software Version 4.0
How to cite: Thornton; M.M.; R. Shrestha; Y. Wei; P.E. Thornton; S-C. Kao; and B.E. Wilson. 2022. Daymet: Daily Surface Weather Data on a 1-km Grid for North America; Version 4 R1. ORNL DAAC; Oak Ridge; Tennessee; USA. https://doi.org/10.3334/ORNLDAAC/2129
year,yday,dayl (s),prcp (mm/day),srad (W/m^2),swe (kg/m^2),tmax (deg c),tmin (deg c),vp (Pa)
2019,213,51464.44,0.00,435.14,0.00,25.05,12.97,1493.82
2019,214,51331.00,3.50,377.68,0.00,26.80,10.24,1247.32
2019,215,51195.52,0.00,464.38,0.00,25.85,12.03,1404.90
2019,216,51058.05,0.00,438.93,0.00,23.75,11.45,1352.21
2019,217,50918.65,0.00,523.23,0.00,25.80,7.02,1002.87
2019,218,50777.38,11.39,368.49,0.00,28.34,11.36,1343.55
2019,219,50634.31,2.44,175.82,0.00,23.03,17.05,1942.79
2019,220,50489.48,12.20,297.93,0.00,25.63,14.48,1648.62
2019,221,50342.97,6.23,297.62,0.00,22.50,11.94,1396.62
2019,222,50194.82,0.00,375.25,0.00,20.21,10.58,1275.97
2019,223,50045.09,0.00,458.14,0.00,23.03,9.30,1171.02
2019,224,49893.84,0.00,470.95,0.00,26.40,11.10,1320.76
2019,225,49741.12,4.76,272.39,0.00,24.22,14.25,1623.75
2019,226,49586.99,0.00,347.68,0.00,25.37,15.85,1799.67
2019,227,49431.49,20.69,313.50,0.00,25.05,12.97,1493.95
2019,228,49274.68,5.89,300.18,0.00,25.39,13.84,1581.05
2019,229,49116.60,15.37,274.53,0.00,25.27,14.96,1699.56
2019,230,48957.32,2.61,322.94,0.00,27.53,13.94,1591.95
2019,231,48796.87,0.00,370.28,0.00,26.36,15.56,1766.55
2019,232,48635.30,0.00,410.31,0.00,26.81,14.00,1597.63
2019,233,48472.66,0.63,336.09,0.00,26.78,16.83,1915.59
2019,234,48309.00,0.00,341.23,0.00,23.59,13.76,1572.76
2019,235,48144.35,0.00,349.66,0.00,19.59,9.87,1216.61
2019,236,47978.77,0.00,360.51,0.00,17.73,7.82,1059.07
2019,237,47812.30,0.00,424.57,0.00,21.49,8.44,1105.12
2019,238,47644.97,0.00,454.11,0.00,22.29,7.23,1017.66
2019,239,47476.82,2.95,246.31,0.00,19.44,10.49,1267.87
2019,240,47307.90,24.66,183.87,0.00,19.33,12.96,1493.30
