system:index,SOS,year,.geo
"0_29004,11601_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11601_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11601_0",115.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11601_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11601_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11601_0",113.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11601_0",116.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11601_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11601_0",108.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11601_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29014,11601_0",100.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29015,11601_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29016,11601_0",95.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29017,11601_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29018,11601_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29019,11601_0",89.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11602_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11602_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11602_0",115.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11602_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11602_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11602_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11602_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11602_0",115.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11602_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11602_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11602_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29014,11602_0",107.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29015,11602_0",97.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29016,11602_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29017,11602_0",91.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29018,11602_0",96.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29019,11602_0",84.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11603_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11603_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11603_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11603_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11603_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11603_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11603_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11603_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29010,11603_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29011,11603_0",104.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29012,11603_0",102.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29013,11603_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29014,11603_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29015,11603_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29016,11603_0",110.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29017,11603_0",98.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29018,11603_0",112.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29001,11604_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29002,11604_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29003,11604_0",106.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29004,11604_0",103.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29005,11604_0",109.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29006,11604_0",111.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29007,11604_0",101.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29008,11604_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
"0_29009,11604_0",114.0,2001,"{""type"":""MultiPoint"",""coordinates"":[]}"
